density,Paper,Min Time,Time opt
0.1,586177.9178441038,501686.1652717818,498776.7453389032
0.2,572196.8398954468,501686.1652717819,498776.7453389032
0.3,576252.4281496688,501686.16527178156,498776.7453389032
0.4,576956.2412133666,501686.1652717817,498776.7453389032
0.5,586288.4744779357,501686.16527178173,498776.7453389032
0.6,577619.3539313276,501686.1652717818,498776.7453389032
0.7,583589.7666853456,501686.16527178185,498776.7453389032
0.8,580306.262655395,501686.16527178185,498776.7453389032
0.9,580695.1931010499,501686.1652717817,498776.7453389032
1,586961.5666673941,501686.1652717816,498776.7453389032
